ArtistA,ArtistB
1,12
1,172
2,367
2,43
2,63
2,149
2,20
2,224
2,15
2,19
2,24
2,494
2,130
2,342
2,55
2,27
2,31
2,7
2,32
2,8
2,14
3,15
3,24
2,3
3,117
3,467
3,177
3,187
3,75
4,6
2,4
4,20
3,4
4,7
4,25
4,11
4,224
4,37
4,337
4,19
4,52
4,32
5,171
5,258
5,219
5,51
5,326
6,43
6,52
6,62
6,61
6,71
6,37
6,482
6,26
6,494
6,11
6,170
2,6
6,200
6,31
6,7
6,75
6,151
6,14
7,259
7,61
7,142
7,20
7,222
7,15
7,11
7,170
7,129
7,13
7,49
7,14
8,259
8,80
8,180
8,142
8,224
8,112
8,262
8,39
8,129
8,30
8,355
9,68
10,193
10,355
10,113
10,29
10,366
11,265
11,20
3,11
11,23
11,317
11,16
11,375
12,169
12,61
12,44
12,222
12,15
12,162
5,12
4,12
11,12
12,170
12,39
12,54
12,289
7,12
12,32
12,49
12,381
12,14
13,344
13,433
13,256
13,442
13,40
13,250
13,385
13,225
13,221
13,361
13,106
13,47
13,296
2,13
13,121
14,117
4,14
14,222
14,482
14,41
14,61
14,44
14,151
14,63
15,237
15,77
15,220
15,403
15,62
15,49
15,44
15,54
16,31
4,16
16,60
16,49
16,39
16,357
16,44
18,91
18,225
18,157
18,81
18,36
18,53
18,167
18,424
18,455
18,280
18,174
19,149
19,423
3,19
19,471
19,264
19,141
19,200
19,477
19,32
14,19
20,142
20,61
20,37
20,52
20,129
20,482
20,39
20,26
8,20
20,56
12,21
21,108
21,100
21,434
3,21
21,327
21,80
21,115
21,401
22,432
22,219
4,24
24,77
15,24
24,43
24,80
8,24
24,197
25,27
25,46
25,74
25,94
25,101
25,37
11,25
25,169
25,212
25,61
2,26
26,289
4,26
7,26
26,32
26,61
26,151
14,26
27,150
27,134
27,31
24,27
27,82
27,187
27,450
27,132
28,89
12,29
29,113
29,425
29,33
29,354
30,495
30,74
30,176
30,170
30,345
31,259
31,65
31,80
31,180
31,61
31,340
3,31
31,224
31,147
31,42
4,31
31,54
30,31
7,31
32,150
32,101
32,61
32,168
7,32
32,37
32,105
32,370
32,63
34,46
34,110
34,52
34,41
34,237
34,37
34,59
34,54
31,34
8,34
34,370
34,443
35,487
18,35
35,91
35,81
35,94
35,240
35,36
35,53
35,278
35,299
35,378
35,261
35,437
36,157
36,390
36,53
36,81
37,237
37,142
7,37
37,331
37,62
37,39
26,37
14,37
39,423
27,39
2,39
31,39
7,39
4,39
39,43
19,39
39,372
24,39
21,39
39,130
40,451
40,221
40,48
40,327
40,368
40,466
41,322
2,41
41,58
41,52
42,143
42,309
43,180
43,61
43,149
43,215
43,257
43,71
43,224
26,43
43,56
43,494
43,124
43,464
43,200
31,43
43,300
43,49
43,75
11,44
44,52
45,412
45,162
32,46
46,105
46,268
47,442
47,250
47,385
47,361
47,430
47,83
36,47
47,436
47,260
47,121
47,86
48,176
18,48
48,115
48,459
48,451
48,221
48,336
48,83
48,179
48,436
39,48
48,466
13,48
48,190
48,327
48,148
49,124
49,367
49,222
49,262
49,62
49,403
49,212
39,49
49,146
49,257
49,68
45,51
52,259
52,237
3,52
52,377
52,222
37,52
52,262
52,440
52,342
52,129
52,141
52,456
52,495
2,52
8,52
53,157
53,240
13,53
53,167
53,81
46,54
54,324
43,54
54,63
54,149
54,61
54,222
19,54
54,147
26,54
54,471
54,56
54,389
4,54
11,54
39,54
54,125
54,129
54,456
14,54
54,150
54,289
54,200
7,54
54,309
8,54
54,443
4,55
31,55
37,55
55,62
26,55
55,61
2,56
56,262
59,117
47,59
48,59
15,59
59,256
59,110
18,59
59,62
59,112
59,296
3,60
31,60
60,309
54,60
60,141
60,290
61,259
46,61
52,61
61,222
37,61
19,61
61,147
61,144
61,471
4,61
60,61
39,61
2,61
61,151
62,259
41,62
62,63
62,222
62,230
62,494
4,62
7,62
62,177
62,151
14,62
63,101
19,63
26,63
63,199
5,63
4,63
25,63
63,252
7,63
63,105
64,151
3,65
65,264
65,111
65,68
68,117
68,71
68,360
68,321
68,337
68,170
68,215
54,68
68,471
70,159
30,70
4,71
25,71
71,75
61,71
63,71
72,114
72,226
24,72
73,201
73,197
24,73
73,305
73,124
39,73
73,129
73,251
73,127
73,111
49,73
73,173
46,74
61,74
63,74
74,101
20,74
37,74
74,212
74,168
74,414
74,162
74,112
2,74
7,74
32,74
74,151
74,345
31,75
7,75
75,405
75,140
25,75
75,267
75,151
30,75
77,104
77,169
45,77
77,126
77,116
61,77
77,197
77,271
77,237
77,377
77,363
77,389
4,77
77,333
11,77
77,112
77,262
7,77
77,195
16,77
77,151
14,77
68,77
78,117
78,149
78,403
78,482
16,78
14,78
27,80
80,322
80,224
67,80
80,126
81,91
81,157
81,278
81,424
81,437
82,143
22,82
51,82
82,134
21,82
82,403
42,82
1,82
7,82
82,331
32,82
49,82
82,236
68,82
83,176
83,433
83,256
83,250
83,459
83,106
83,382
83,280
83,121
13,83
83,190
83,111
83,86
84,102
68,85
86,121
86,176
86,256
13,86
86,111
86,250
86,148
86,388
86,225
91,176
91,242
36,91
13,91
91,278
91,281
91,261
91,103
93,142
74,93
25,93
93,154
37,93
75,93
26,93
93,101
63,93
94,404
94,169
94,470
94,250
41,94
94,101
94,215
94,221
70,94
94,246
94,431
94,289
94,261
68,94
43,95
95,232
95,180
95,250
95,197
95,257
95,458
95,296
95,434
95,121
95,251
95,327
95,111
95,236
95,323
4,96
45,96
21,96
39,96
61,96
54,96
96,128
96,453
96,162
99,143
3,99
4,99
25,99
15,99
99,458
99,147
96,99
99,443
101,212
101,168
26,101
101,252
4,101
101,140
101,216
31,101
101,105
103,299
103,281
103,436
103,215
46,104
52,104
61,104
104,271
20,104
74,104
104,222
104,151
19,104
104,162
25,104
4,104
34,104
104,243
2,104
32,104
75,104
105,268
14,105
106,143
48,106
40,106
106,250
106,480
44,106
106,361
106,436
106,368
106,121
106,190
106,111
106,261
86,106
106,173
73,106
45,108
108,144
108,173
109,412
109,251
21,109
16,109
111,176
48,111
111,256
111,442
45,111
111,250
111,225
111,237
21,111
111,388
111,124
111,382
111,456
111,387
13,111
68,111
2,112
13,112
24,112
114,169
115,143
115,382
115,176
115,260
83,115
47,115
95,115
91,115
35,115
24,115
106,115
115,261
116,483
39,116
8,116
116,271
116,132
2,117
117,124
71,117
117,471
117,272
117,143
15,117
112,117
19,117
63,117
117,149
56,117
120,277
120,148
121,206
121,433
121,358
121,250
121,419
121,480
116,121
121,225
121,296
122,421
124,360
124,490
61,124
124,257
124,224
21,124
124,453
124,322
95,124
39,124
31,124
124,483
14,124
74,125
31,125
43,125
125,180
125,276
125,162
51,126
21,126
126,359
126,342
126,129
126,309
126,357
126,236
127,340
128,263
61,129
129,237
129,383
30,129
27,129
129,216
130,142
117,130
130,483
32,130
63,130
104,131
132,201
126,132
132,237
132,147
42,132
132,450
132,483
132,187
73,132
134,201
3,134
43,134
132,134
126,134
134,197
134,450
134,359
4,139
104,139
140,142
140,289
31,140
32,140
64,140
130,140
131,141
3,141
7,141
141,487
113,141
134,142
142,222
142,224
142,147
63,143
143,271
15,143
143,403
143,389
96,143
14,143
13,143
111,143
75,143
8,143
143,151
143,443
45,144
144,448
144,213
145,432
90,145
117,146
59,146
146,360
146,321
54,146
104,147
147,180
